Month,Year,Site,Order,Family,Units,Avg,Stdev,randomprob,Length (mm),MassOligos,a,b,Mass,Production,Notes,,,
July,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.735972222,27.28,0.843098025,0.0082,2.813,27.2764501,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.691435542,27.27,0.842804818,0.0082,2.813,27.26696408,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.736061409,27.26,0.842527548,0.0082,2.813,27.25799366,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.689844951,27.2,0.840821876,0.0082,2.813,27.20281067,,,,,
July,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.733733182,27.2,0.840587358,0.0082,2.813,27.1952234,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.697895867,27.17,0.839837908,0.0082,2.813,27.17097669,,,,,
Aug/Sept,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.73486413,27.17,0.83967251,0.0082,2.813,27.16562564,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.688471981,27.15,0.839113794,0.0082,2.813,27.14754971,,,,,
June,2014,Dock,Oligochaeta,Oligochaeta,27.14,11.32,25.25,0.7397369,27.14,0.83896875,0.0082,2.813,27.14285714,,,,,
June,2014,T3,Oligochaeta,Oligochaeta,27.14,20.16,14.22,0.670992506,27.14,0.83896875,0.0082,2.813,27.14285714,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.688198627,27.14,0.83877411,0.0082,2.813,27.13656003,,,,,
Aug/Sept,2015,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.730666456,27.08,0.837165859,0.0082,2.813,27.08452885,,,,,
Aug/Sept,2015,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.695639758,27.08,0.837144071,0.0082,2.813,27.08382395,,,,,
Aug/Sept,2009,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.733566819,27.07,0.836586318,0.0082,2.813,27.06577917,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.733183792,27.04,0.835676585,0.0082,2.813,27.03634691,,,,,
June,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.727592373,26.97,0.833755702,0.0082,2.813,26.97420126,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.692345792,26.96,0.833226904,0.0082,2.813,26.95709323,,,,,
Aug/Sept,2009,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.726393013,26.93,0.83243042,0.0082,2.813,26.93132488,,,,,
July,2016,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.683036259,26.93,0.832382945,0.0082,2.813,26.92978893,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.682425862,26.91,0.831630198,0.0082,2.813,26.90543559,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.688838463,26.82,0.829076219,0.0082,2.813,26.8228076,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.688551103,26.81,0.828737054,0.0082,2.813,26.81183472,,,,,
July,2018,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.73024628,26.81,0.828721426,0.0082,2.813,26.81132912,,,,,
Aug/Sept,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.729826385,26.78,0.827730351,0.0082,2.813,26.77926522,,,,,
Aug/Sept,2015,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.685868287,26.71,0.825577072,0.0082,2.813,26.70960096,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.68541633,26.69,0.825045875,0.0082,2.813,26.69241532,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.684520028,26.66,0.823993389,0.0082,2.813,26.65836461,,,,,
June,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.675642651,26.64,0.823305527,0.0082,2.813,26.63611048,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.727612997,26.61,0.822518773,0.0082,2.813,26.61065689,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.682767816,26.59,0.82193952,0.0082,2.813,26.59191653,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.727328872,26.59,0.821851309,0.0082,2.813,26.58906267,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.672894069,26.53,0.819952856,0.0082,2.813,26.52764269,,,,,
Aug/Sept,2013,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.680777351,26.52,0.819612195,0.0082,2.813,26.51662141,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.726073135,26.49,0.818905466,0.0082,2.813,26.49375687,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.726021172,26.49,0.81878371,0.0082,2.813,26.48981775,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.671606618,26.48,0.818386389,0.0082,2.813,26.47696336,,,,,
June,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.713281343,26.47,0.818123215,0.0082,2.813,26.46844897,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.671234285,26.46,0.817933827,0.0082,2.813,26.46232177,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.725471655,26.45,0.817496815,0.0082,2.813,26.44818328,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.725299913,26.44,0.81709488,0.0082,2.813,26.43517961,,,,,
June,2010,Spring,Oligochaeta,Oligochaeta,26.43,14.51,9.84,0.546733243,26.43,0.816890625,0.0082,2.813,26.42857143,,,,,
June,2009,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.71085364,26.38,0.815508861,0.0082,2.813,26.38386772,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.668091862,26.34,0.814122451,0.0082,2.813,26.33901367,,,,,
July,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.70909417,26.32,0.813620567,0.0082,2.813,26.3227764,,,,,
Aug/Sept,2015,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.708983174,26.32,0.813501624,0.0082,2.813,26.31892829,,,,,
Aug/Sept,2009,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.708618956,26.31,0.813111476,0.0082,2.813,26.30630598,,,,,
June,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.675069125,26.3,0.812971322,0.0082,2.813,26.30177162,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.674642933,26.29,0.812477436,0.0082,2.813,26.2857931,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.674582068,26.28,0.812406926,0.0082,2.813,26.2835119,,,,,
July,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.666257971,26.27,0.811904804,0.0082,2.813,26.26726693,,,,,
June,2009,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.707235187,26.26,0.811631264,0.0082,2.813,26.25841719,,,,,
June,2014,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.640004967,26.26,0.811544744,0.0082,2.813,26.25561806,,,,,
Aug/Sept,2016,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.722824321,26.25,0.811314816,0.0082,2.813,26.24817926,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.673186591,26.23,0.810791771,0.0082,2.813,26.23125736,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.722417935,26.22,0.810368397,0.0082,2.813,26.21756012,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.664223512,26.19,0.809450229,0.0082,2.813,26.18785494,,,,,
Aug/Sept,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.671321559,26.16,0.80863751,0.0082,2.813,26.16156134,,,,,
June,2018,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.721607355,26.16,0.808482689,0.0082,2.813,26.15655246,,,,,
June,2015,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.66873259,26.07,0.805655188,0.0082,2.813,26.06507533,,,,,
July,2014,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.668557795,26.06,0.805454173,0.0082,2.813,26.05857197,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,26,20.16,14.22,0.30476334,26,0.80364375,0.0082,2.813,26,,,,,
July,2014,T4,Oligochaeta,Oligochaeta,26,20.18,13.5,0.69656823,26,0.80364375,0.0082,2.813,26,,,,,
Aug/Sept,2014,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.699436716,25.99,0.803348857,0.0082,2.813,25.99045944,,,,,
Aug/Sept,2014,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.658349372,25.96,0.802395265,0.0082,2.813,25.95960821,,,,,
Aug/Sept,2016,T5,Oligochaeta,Oligochaeta,NA,19.78,11.89,0.698080117,25.94,0.801918107,0.0082,2.813,25.94417088,,,,,
July,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.718688435,25.94,0.801714218,0.0082,2.813,25.93757455,,,,,
Aug/Sept,2009,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.664855529,25.92,0.801206352,0.0082,2.813,25.92114373,,,,,
June,2009,T1,Oligochaeta,Oligochaeta,NA,21.81,12.39,0.629505015,25.91,0.800846999,0.0082,2.813,25.90951772,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.718073712,25.89,0.800293123,0.0082,2.813,25.89159835,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.717800976,25.87,0.799663098,0.0082,2.813,25.87121537,,,,,
July,2016,T4,Oligochaeta,Oligochaeta,NA,20.18,13.5,0.66245467,25.83,0.798461548,0.0082,2.813,25.83234206,,,,,
Aug/Sept,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.654784689,25.82,0.798136544,0.0082,2.813,25.82182734,,,,,
June,2015,Dock,Oligochaeta,Oligochaeta,NA,11.32,25.25,0.716699022,25.79,0.797120544,0.0082,2.813,25.78895705,,,,,
June,2015,T3,Oligochaeta,Oligochaeta,NA,20.16,14.22,0.653836308,25.79,0.797006295,0.0082,2.813,25.78526078,,,,,
